Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,39.43,NA,16.96,56.92,NA,NA,3.74,NA,24.57,NA,NA,NA,NA,NA,NA,24.98,57.03,0.57,162.39,NA,NA,NA,1010.46,-0.13
2018-01-02 00:00:00,35.23,NA,10.70,50.95,NA,NA,3.95,NA,25.80,NA,NA,NA,NA,NA,NA,25.19,68.80,0.65,132.51,NA,NA,NA,1010.66,-0.13
2018-01-03 00:00:00,28.95,NA,16.81,60.26,NA,NA,3.38,NA,34.58,NA,NA,NA,NA,NA,NA,25.28,69.06,0.65,76.77,NA,NA,NA,1010.45,-0.13
2018-01-04 00:00:00,23.96,NA,8.50,50.17,NA,NA,3.09,NA,47.73,NA,NA,NA,NA,NA,NA,24.18,71.53,0.68,72.42,NA,NA,NA,1010.74,-0.12
2018-01-05 00:00:00,24.43,NA,11.51,65.47,NA,NA,3.74,NA,50.66,NA,NA,NA,NA,NA,NA,21.21,67.68,0.67,84.39,NA,NA,NA,1010.54,-0.13
2018-01-06 00:00:00,31.52,NA,11.69,61.02,NA,NA,3.45,NA,60.26,NA,NA,NA,NA,NA,NA,20.96,74.54,0.61,105.16,NA,NA,NA,1010.43,-0.13
2018-01-07 00:00:00,38.76,NA,12.66,64.62,NA,NA,3.62,NA,62.34,NA,NA,NA,NA,NA,NA,20.38,68.00,0.65,82.16,NA,NA,NA,1010.49,-0.13
2018-01-08 00:00:00,35.50,NA,5.62,55.19,NA,NA,10.50,NA,78.70,NA,NA,NA,NA,NA,NA,20.76,54.51,0.72,66.46,NA,NA,NA,1011.90,-0.10
2018-01-09 00:00:00,28.70,NA,14.04,69.86,47.12,NA,44.95,NA,68.69,NA,NA,NA,NA,NA,NA,21.05,80.09,0.71,68.18,NA,NA,NA,1011.60,-0.11
2018-01-10 00:00:00,26.18,NA,20.97,74.79,56.51,NA,2.86,NA,35.99,NA,NA,NA,NA,NA,NA,20.64,NA,0.71,67.43,NA,NA,NA,1011.38,-0.11
2018-01-11 00:00:00,24.65,NA,29.72,91.10,72.60,NA,11.42,NA,18.38,NA,NA,NA,NA,NA,NA,22.07,76.07,0.69,81.98,NA,NA,NA,1011.13,-0.12
2018-01-12 00:00:00,37.52,NA,19.11,68.52,51.70,NA,15.15,NA,20.96,NA,NA,NA,NA,NA,NA,21.80,74.59,0.70,76.18,NA,NA,NA,1010.64,-0.13
2018-01-13 00:00:00,25.78,NA,24.17,82.32,63.12,NA,1.95,NA,22.17,NA,NA,NA,NA,NA,NA,22.22,55.98,0.73,73.34,NA,NA,NA,1011.54,-0.11
2018-01-14 00:00:00,24.29,NA,29.84,87.85,70.60,NA,2.45,NA,33.48,NA,NA,NA,NA,NA,NA,21.34,56.35,0.72,75.36,NA,NA,NA,1011.64,-0.10
2018-01-15 00:00:00,30.99,NA,12.62,60.11,42.07,NA,2.55,NA,38.91,NA,NA,NA,NA,NA,NA,21.43,56.83,0.70,75.66,NA,NA,NA,1011.06,-0.12
2018-01-16 00:00:00,30.56,NA,17.21,79.01,55.77,NA,2.87,NA,37.91,NA,NA,NA,NA,NA,NA,21.28,59.17,0.71,64.89,NA,NA,NA,1011.07,-0.12
2018-01-17 00:00:00,30.69,NA,12.01,65.00,44.18,NA,2.35,NA,41.55,NA,NA,NA,NA,NA,NA,21.18,64.27,0.69,67.51,NA,NA,NA,1011.06,-0.12
2018-01-18 00:00:00,26.25,NA,13.02,74.61,49.59,NA,2.15,NA,42.92,NA,NA,NA,NA,NA,NA,20.84,41.58,0.74,68.06,NA,NA,NA,1012.02,-0.10
