Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,89.05,135.24,1.24,16.99,10.04,11.65,13.01,1.17,37.58,1.38,2.78,NA,NA,0.37,0.89,23.15,76.84,0.74,83.93,0.00,0.00,71.85,NA,NA
2025-01-02 00:00:00,87.56,185.91,1.52,29.15,16.23,8.90,13.08,1.38,32.08,2.09,6.58,NA,NA,1.39,3.00,22.71,77.92,0.55,153.28,0.00,0.00,77.21,NA,NA
2025-01-03 00:00:00,100.65,199.13,1.18,26.35,14.68,8.43,13.38,1.16,39.93,1.87,5.30,NA,NA,1.29,2.24,22.31,73.48,0.66,95.04,0.00,0.00,73.77,NA,NA
2025-01-04 00:00:00,110.98,181.62,1.13,28.32,15.79,8.05,12.67,1.24,39.04,2.07,4.96,NA,NA,0.97,1.96,23.11,76.05,0.48,119.89,0.00,0.00,69.31,NA,NA
2025-01-05 00:00:00,109.65,239.24,0.86,40.30,20.14,8.68,12.07,1.35,29.10,2.94,8.40,NA,NA,1.86,3.70,23.98,80.60,0.43,158.52,0.00,0.00,76.32,NA,NA
2025-01-06 00:00:00,99.98,243.78,0.69,40.19,19.08,7.60,11.44,1.61,23.65,3.46,10.76,NA,NA,2.85,5.30,24.31,81.69,0.45,203.37,0.00,0.00,76.95,NA,NA
2025-01-07 00:00:00,102.57,211.23,0.70,35.93,18.14,7.77,14.94,1.22,26.30,2.68,7.95,NA,NA,1.91,3.75,25.22,78.51,0.49,221.86,0.00,0.00,68.05,NA,NA
2025-01-08 00:00:00,90.38,182.09,0.72,28.13,14.71,9.34,13.78,1.17,31.40,2.08,5.43,NA,NA,1.06,2.10,24.66,75.52,0.57,119.94,0.00,0.00,70.00,NA,NA
2025-01-09 00:00:00,79.07,115.34,0.90,20.74,11.73,9.50,11.90,1.14,37.98,1.59,3.24,NA,NA,0.38,0.76,23.42,77.21,0.75,49.82,0.00,0.00,78.47,NA,NA
2025-01-10 00:00:00,96.36,142.55,0.86,24.21,13.50,8.71,12.42,1.24,39.25,1.73,3.65,NA,NA,0.48,0.90,22.58,81.24,0.62,74.96,0.00,0.00,78.75,NA,NA
2025-01-11 00:00:00,113.04,211.81,0.73,34.39,17.06,7.99,12.34,1.41,38.02,2.49,7.59,NA,NA,1.72,2.85,23.06,78.09,0.56,92.45,0.00,0.00,86.38,NA,NA
2025-01-12 00:00:00,97.31,167.43,0.71,40.79,20.28,7.74,11.96,1.42,35.31,2.49,7.60,NA,NA,1.62,3.31,23.71,74.52,0.50,177.81,0.00,0.00,68.39,NA,NA
