Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,35.94,56.26,4.12,17.42,21.54,1.23,14.03,0.60,NA,0.01,0.00,NA,NA,NA,NA,25.51,70.20,3.07,246.45,0.00,0.00,206.17,NA,NA
2025-01-02 00:00:00,45.40,73.85,4.28,19.08,23.37,1.28,13.73,0.60,NA,0.01,0.00,NA,NA,NA,NA,24.73,72.06,2.45,244.73,0.00,0.00,181.23,NA,NA
2025-01-03 00:00:00,43.95,76.76,4.08,16.26,16.74,1.36,13.59,0.50,NA,0.01,0.00,NA,NA,NA,NA,24.46,70.73,2.64,247.49,0.00,0.00,191.94,NA,NA
2025-01-04 00:00:00,50.86,86.76,4.23,29.63,11.64,0.65,13.74,0.26,NA,0.01,0.00,NA,NA,NA,NA,24.31,73.29,1.77,236.38,0.00,0.00,197.09,NA,NA
2025-01-05 00:00:00,42.74,72.15,4.03,13.98,18.01,1.30,13.53,0.64,NA,0.01,0.00,NA,NA,NA,NA,24.47,72.78,1.27,223.68,0.00,0.00,179.14,NA,NA
2025-01-06 00:00:00,42.51,71.14,4.07,17.25,20.84,1.11,13.65,0.62,54.05,0.01,0.00,NA,NA,NA,NA,24.66,72.46,0.72,226.08,0.00,0.00,180.16,NA,NA
2025-01-07 00:00:00,45.16,72.31,4.32,16.31,21.11,1.36,13.73,0.58,37.57,0.01,0.00,NA,NA,NA,NA,24.97,82.53,0.83,218.07,0.00,0.00,183.35,NA,NA
2025-01-08 00:00:00,37.21,70.20,4.28,12.27,16.55,1.38,13.88,0.51,13.49,0.01,0.00,NA,NA,NA,NA,25.64,82.26,1.88,246.86,0.00,0.00,154.60,NA,NA
2025-01-09 00:00:00,45.60,104.40,4.36,14.06,18.42,1.27,13.66,0.53,18.11,0.01,0.00,NA,NA,NA,NA,24.25,78.75,2.05,245.37,0.00,0.00,143.53,NA,NA
2025-01-10 00:00:00,41.20,84.94,4.46,14.36,18.82,1.31,13.93,0.55,17.47,0.01,0.00,NA,NA,NA,NA,24.92,83.35,2.23,236.79,0.00,0.00,151.48,NA,NA
2025-01-11 00:00:00,41.53,82.07,4.66,16.31,20.96,1.39,13.70,0.60,8.05,0.01,0.00,NA,NA,NA,NA,25.26,85.82,1.28,242.50,0.00,0.00,103.04,NA,NA
2025-01-12 00:00:00,29.70,57.74,4.32,11.22,15.55,1.44,13.94,0.49,14.78,0.01,0.00,NA,NA,NA,NA,26.08,80.07,1.80,254.94,0.00,0.00,181.74,NA,NA
2025-01-13 00:00:00,26.34,45.97,4.28,11.62,15.90,1.65,14.08,0.48,9.02,0.01,0.00,NA,NA,NA,NA,25.91,87.91,2.53,248.58,0.00,0.00,110.67,NA,NA
2025-01-14 00:00:00,16.89,28.74,4.12,8.05,12.16,1.77,13.81,0.43,6.84,0.02,0.00,NA,NA,NA,NA,25.49,88.57,3.05,256.54,0.00,0.00,82.62,NA,NA
2025-01-15 00:00:00,16.11,30.23,4.14,7.72,11.86,1.57,14.12,0.40,9.72,0.01,0.00,NA,NA,NA,NA,25.33,74.08,4.75,250.54,0.00,0.00,135.83,NA,NA
2025-01-16 00:00:00,20.29,40.31,4.33,10.02,14.35,1.45,14.07,0.43,12.95,0.01,0.00,NA,NA,NA,NA,25.45,61.85,3.05,249.41,0.00,0.00,162.59,NA,NA
2025-01-17 00:00:00,35.46,62.45,4.41,14.28,18.22,1.20,14.55,0.53,12.29,0.04,0.03,NA,NA,0.03,NA,25.02,62.99,3.36,256.36,0.00,0.00,33.09,NA,NA
2025-01-18 00:00:00,39.34,74.92,4.23,10.38,14.61,1.27,14.20,0.49,16.85,0.01,0.00,NA,NA,NA,NA,24.20,67.64,4.23,249.27,0.00,0.00,140.09,NA,NA
2025-01-19 00:00:00,30.45,52.83,4.51,11.50,16.01,1.39,14.17,0.49,5.45,0.01,0.00,NA,NA,NA,NA,23.93,80.17,2.45,233.78,0.00,0.00,90.02,NA,NA
2025-01-20 00:00:00,23.22,47.74,5.20,17.97,23.18,1.43,14.27,0.53,6.25,0.01,0.00,NA,NA,NA,NA,26.20,70.84,1.08,238.31,0.00,0.00,156.69,NA,NA
2025-01-21 00:00:00,41.04,71.37,4.88,24.33,29.22,1.13,14.24,0.57,50.48,0.01,0.00,NA,NA,NA,NA,25.36,59.70,1.70,235.60,0.00,0.00,193.56,NA,NA
2025-01-22 00:00:00,43.11,72.14,4.56,16.80,21.35,1.54,14.24,0.54,28.27,0.01,0.00,NA,NA,NA,NA,25.69,62.89,2.17,234.51,0.00,0.00,190.66,NA,NA
2025-01-23 00:00:00,38.27,65.41,5.80,19.37,25.15,2.10,14.80,0.63,8.17,0.06,0.05,NA,NA,0.05,NA,25.04,74.60,0.98,248.92,0.00,0.00,45.01,NA,NA
2025-01-24 00:00:00,30.99,53.27,4.08,14.60,18.68,2.32,14.58,0.60,28.67,0.01,0.00,NA,NA,NA,NA,25.51,68.36,4.00,242.98,0.00,0.00,205.95,NA,NA
2025-01-25 00:00:00,26.60,55.80,4.27,13.25,17.52,1.74,14.61,0.55,22.09,0.01,0.00,NA,NA,NA,NA,25.74,66.47,2.31,236.45,0.00,0.00,206.11,NA,NA
2025-01-26 00:00:00,23.12,48.90,4.13,9.96,14.09,1.49,14.76,0.48,27.83,0.01,0.00,NA,NA,NA,NA,26.00,58.91,3.76,250.26,0.00,0.00,229.99,NA,NA
2025-01-27 00:00:00,29.62,50.06,4.20,16.04,20.24,1.19,14.74,0.48,51.96,0.01,0.00,NA,NA,NA,NA,25.58,58.82,9.75,237.73,0.00,0.00,215.61,NA,NA
2025-01-28 00:00:00,42.79,72.01,4.30,18.07,22.37,1.49,14.51,0.54,50.56,0.01,0.00,NA,NA,NA,NA,25.83,55.80,10.43,228.88,0.00,0.00,202.12,NA,NA
2025-01-29 00:00:00,53.51,79.33,4.39,12.29,16.68,3.18,14.09,0.53,60.05,0.01,0.00,NA,NA,NA,NA,26.27,58.63,9.20,236.14,0.00,0.00,206.47,NA,NA
2025-01-30 00:00:00,47.96,76.04,4.45,13.79,18.24,3.31,14.57,0.49,40.07,0.01,0.00,NA,NA,NA,NA,26.60,65.39,9.26,236.10,0.00,0.00,174.91,NA,NA
2025-01-31 00:00:00,40.25,67.61,4.72,13.44,18.16,3.82,14.89,0.47,19.56,0.01,0.00,NA,NA,NA,NA,27.35,68.17,10.20,234.03,0.00,0.00,131.41,NA,NA
2025-02-01 00:00:00,25.67,52.59,4.61,8.48,13.09,3.70,15.05,0.44,12.12,0.01,0.00,NA,NA,NA,NA,28.08,62.79,19.15,248.14,0.00,0.00,201.17,NA,NA
2025-02-02 00:00:00,21.13,44.43,4.32,5.55,9.87,3.48,14.99,0.38,18.40,0.01,0.00,NA,NA,NA,NA,28.14,59.35,17.35,244.83,0.00,0.00,196.43,NA,NA
2025-02-03 00:00:00,25.73,54.02,4.45,8.66,13.11,3.22,14.79,0.40,19.98,0.01,0.00,NA,NA,NA,NA,26.94,57.04,16.79,234.98,0.00,0.00,184.00,NA,NA
2025-02-04 00:00:00,38.41,69.43,4.47,14.80,19.27,2.96,14.92,0.45,46.05,0.01,0.00,NA,NA,NA,NA,27.16,46.16,17.85,215.50,0.00,0.00,226.30,NA,NA
2025-02-05 00:00:00,49.93,79.87,4.33,13.23,17.56,4.28,14.84,0.44,53.57,0.01,0.00,NA,NA,NA,NA,27.23,48.37,15.79,232.58,0.00,0.00,215.29,NA,NA
2025-02-06 00:00:00,48.30,76.20,4.54,11.84,16.38,3.56,14.63,0.42,34.62,0.01,0.00,NA,NA,NA,NA,26.48,55.38,2.48,230.52,0.00,0.00,224.79,NA,NA
2025-02-07 00:00:00,37.94,65.71,4.78,12.53,17.31,3.31,15.02,0.44,30.63,0.01,0.00,NA,NA,NA,NA,26.69,51.05,0.80,237.13,0.00,0.00,234.54,NA,NA
2025-02-08 00:00:00,36.46,76.79,4.74,9.02,13.75,3.59,14.70,0.40,27.93,0.01,0.00,NA,NA,NA,NA,26.80,50.06,0.88,238.44,0.00,0.00,222.88,NA,NA
2025-02-09 00:00:00,51.20,72.06,4.54,5.78,10.32,3.38,14.55,0.39,35.85,0.01,0.00,NA,NA,NA,NA,27.15,52.23,0.51,249.09,0.00,0.00,213.61,NA,NA
