Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,63.33,101.64,2.84,18.85,11.33,11.32,20.48,1.28,30.54,NA,NA,NA,NA,NA,NA,14.02,79.59,0.54,239.40,0.00,0.00,241.92,746.08,NA
2025-01-02 00:00:00,85.82,138.71,3.31,22.19,13.50,12.30,19.48,1.38,24.06,NA,NA,NA,NA,NA,NA,14.67,82.58,0.46,194.06,0.00,0.00,238.31,745.21,NA
2025-01-03 00:00:00,105.49,153.03,2.49,21.91,12.67,14.72,19.25,1.23,26.91,NA,NA,NA,NA,NA,NA,15.14,83.22,0.32,176.29,0.00,0.00,230.23,744.97,NA
2025-01-04 00:00:00,83.98,118.66,1.71,17.34,9.62,14.88,20.42,1.35,22.97,NA,NA,NA,NA,NA,NA,13.82,87.68,0.31,154.80,0.00,0.20,217.65,743.45,NA
2025-01-05 00:00:00,50.82,74.63,1.34,12.40,6.68,13.01,23.41,1.22,23.46,NA,NA,NA,NA,NA,NA,13.21,89.08,0.32,139.15,0.00,0.00,169.17,743.35,NA
2025-01-06 00:00:00,91.49,153.06,1.40,13.69,7.42,14.41,24.31,1.09,26.07,NA,NA,NA,NA,NA,NA,13.22,85.22,0.60,215.41,0.00,0.00,192.31,743.82,NA
2025-01-07 00:00:00,90.48,145.53,2.16,17.99,10.33,15.72,33.74,1.07,25.65,NA,NA,NA,NA,NA,NA,13.22,85.03,1.04,249.45,0.00,0.00,196.77,745.00,NA
2025-01-08 00:00:00,72.99,140.06,4.14,26.53,16.48,12.47,27.80,1.58,18.21,NA,NA,NA,NA,NA,NA,13.56,79.16,0.60,179.16,0.00,0.00,238.71,743.46,NA
2025-01-09 00:00:00,74.67,136.12,4.27,27.20,16.93,11.30,21.72,1.69,16.88,NA,NA,NA,NA,NA,NA,14.05,77.48,0.31,158.44,0.00,0.00,229.88,745.06,NA
2025-01-10 00:00:00,109.78,154.22,1.94,16.01,9.08,12.73,21.90,0.61,36.66,NA,NA,NA,NA,NA,NA,13.18,83.68,0.36,145.41,0.00,0.00,275.98,746.92,NA
2025-01-11 00:00:00,99.49,136.35,1.41,13.17,7.15,15.80,32.51,1.33,56.43,NA,NA,NA,NA,NA,NA,15.68,84.39,0.49,162.27,0.00,0.00,216.10,744.89,NA
2025-01-12 00:00:00,87.19,120.67,1.43,14.38,7.82,16.50,20.72,1.18,50.53,NA,NA,NA,NA,NA,NA,16.24,87.70,0.51,220.67,0.00,0.40,208.26,745.79,NA
2025-01-13 00:00:00,74.78,120.88,3.43,23.96,14.55,14.73,24.21,1.37,34.15,NA,NA,NA,NA,NA,NA,15.64,84.55,0.68,264.90,0.00,0.00,237.21,745.67,NA
2025-01-14 00:00:00,55.23,88.85,2.26,17.95,10.39,12.69,17.06,0.86,29.00,NA,NA,NA,NA,NA,NA,14.88,83.71,0.34,188.23,0.00,0.00,241.00,745.88,NA
2025-01-15 00:00:00,51.03,76.71,1.58,11.80,6.56,12.17,18.21,0.60,30.05,NA,NA,NA,NA,NA,NA,12.63,93.29,0.32,129.76,0.00,0.00,86.09,747.23,NA
2025-01-16 00:00:00,87.34,142.75,1.87,14.88,8.43,12.72,24.23,0.97,34.26,NA,NA,NA,NA,NA,NA,14.39,87.46,0.42,175.98,0.00,0.00,196.64,747.42,NA
2025-01-17 00:00:00,102.39,164.50,3.66,24.53,15.03,13.10,21.22,1.36,43.32,NA,NA,NA,NA,NA,NA,13.58,87.21,0.46,218.99,0.00,0.00,231.44,747.35,NA
2025-01-18 00:00:00,64.97,106.62,1.94,15.75,8.96,12.13,15.35,0.79,42.35,NA,NA,NA,NA,NA,NA,14.06,86.77,0.33,174.91,0.00,0.00,220.68,745.57,NA
2025-01-19 00:00:00,86.20,151.98,3.60,24.59,15.01,12.82,20.29,1.47,38.77,NA,NA,NA,NA,NA,NA,17.15,82.60,0.31,197.12,0.00,0.20,236.85,744.05,NA
2025-01-20 00:00:00,100.53,166.76,3.77,25.11,15.42,14.53,19.44,1.59,49.91,NA,NA,NA,NA,NA,NA,19.28,83.99,0.56,244.85,0.00,0.00,240.79,742.32,NA
2025-01-21 00:00:00,76.75,143.26,4.20,26.99,16.77,13.18,30.87,1.16,56.97,NA,NA,NA,NA,NA,NA,18.76,79.93,0.52,223.80,0.00,0.00,243.05,741.28,NA
2025-01-22 00:00:00,88.29,175.49,3.58,26.24,15.87,12.29,30.78,1.38,44.25,NA,NA,NA,NA,NA,NA,18.50,78.73,0.30,176.51,0.00,0.00,234.57,740.97,NA
2025-01-23 00:00:00,85.46,128.71,2.11,18.11,10.35,13.23,42.57,0.99,50.21,NA,NA,NA,NA,NA,NA,18.37,81.19,0.51,204.48,0.00,0.00,211.51,741.64,NA
2025-01-24 00:00:00,36.67,101.44,1.85,14.66,8.30,11.45,22.98,1.20,38.41,NA,NA,NA,NA,NA,NA,18.42,67.80,0.90,267.26,0.00,0.00,327.57,742.97,NA
2025-01-25 00:00:00,61.36,137.21,4.54,30.00,18.64,8.73,26.18,1.81,58.50,NA,NA,NA,NA,NA,NA,18.47,56.18,0.68,293.26,0.00,0.00,291.24,742.26,NA
2025-01-26 00:00:00,85.86,169.07,3.03,22.25,13.30,8.44,43.51,1.34,49.90,NA,NA,NA,NA,NA,NA,15.05,69.38,0.41,169.80,0.00,0.00,254.12,741.93,NA
2025-01-27 00:00:00,113.07,191.51,3.39,26.88,16.05,9.72,32.96,1.68,52.26,NA,NA,NA,NA,NA,NA,14.47,71.84,0.43,145.31,0.00,0.00,258.36,740.62,NA
2025-01-28 00:00:00,92.58,147.47,2.64,24.26,14.05,9.58,23.35,1.03,55.96,NA,NA,NA,NA,NA,NA,15.54,70.52,0.35,121.71,0.00,0.00,259.04,740.48,NA
2025-01-29 00:00:00,71.51,123.21,2.04,20.20,11.43,10.08,24.14,1.23,54.18,NA,NA,NA,NA,NA,NA,17.90,69.02,0.34,148.46,0.00,0.00,251.34,741.47,NA
2025-01-30 00:00:00,99.58,142.49,1.92,19.87,11.14,11.51,22.10,1.07,66.88,NA,NA,NA,NA,NA,NA,18.17,77.03,0.31,130.28,0.00,0.00,249.46,738.47,NA
2025-01-31 00:00:00,102.15,140.72,1.70,18.05,9.99,12.85,15.45,1.04,47.96,NA,NA,NA,NA,NA,NA,19.71,77.20,0.32,137.13,0.00,0.00,253.69,737.83,NA
2025-02-01 00:00:00,75.68,123.18,2.94,22.27,13.23,11.22,19.73,1.40,49.55,NA,NA,NA,NA,NA,NA,19.92,76.09,0.36,104.00,0.00,0.00,249.91,739.26,NA
2025-02-02 00:00:00,112.45,163.39,2.25,19.43,11.17,12.75,13.26,1.37,52.38,NA,NA,NA,NA,NA,NA,19.90,78.40,0.35,182.71,0.00,0.00,248.84,741.43,NA
2025-02-03 00:00:00,84.81,144.58,1.67,17.18,9.49,13.46,20.06,1.13,48.33,NA,NA,NA,NA,NA,NA,19.45,73.89,0.36,120.97,0.00,0.00,250.25,741.65,NA
2025-02-04 00:00:00,52.26,120.11,2.56,20.34,11.90,11.99,22.29,1.43,41.68,NA,NA,NA,NA,NA,NA,20.17,76.68,0.32,113.24,0.00,0.00,234.00,741.26,NA
2025-02-05 00:00:00,61.33,126.00,1.76,15.09,8.45,10.83,19.76,0.69,47.82,NA,NA,NA,NA,NA,NA,19.25,65.59,0.88,229.27,0.00,0.00,253.77,742.11,NA
2025-02-06 00:00:00,44.85,111.48,1.62,14.55,8.06,8.49,21.99,0.89,56.27,NA,NA,NA,NA,NA,NA,17.33,57.73,0.79,238.51,0.00,0.00,265.38,744.17,NA
2025-02-07 00:00:00,56.19,140.22,2.95,21.24,12.70,8.39,20.18,1.31,57.87,NA,NA,NA,NA,NA,NA,17.96,54.03,0.86,260.68,0.00,0.00,267.78,744.30,NA
2025-02-08 00:00:00,71.65,159.11,2.91,24.24,14.26,8.69,24.96,1.02,38.78,NA,NA,NA,NA,NA,NA,16.83,65.27,0.52,145.67,0.00,0.00,263.73,742.94,NA
2025-02-09 00:00:00,86.92,165.64,2.66,23.38,13.60,9.37,24.85,1.18,42.26,NA,NA,NA,NA,NA,NA,17.85,69.50,0.33,147.90,0.00,0.00,260.35,741.61,NA
2025-02-10 00:00:00,69.34,147.08,2.81,23.96,14.02,10.58,25.55,1.37,50.52,NA,NA,NA,NA,NA,NA,19.15,72.29,0.32,149.08,0.00,0.00,258.38,741.22,NA
2025-02-11 00:00:00,72.40,161.40,2.89,23.95,14.08,10.05,27.89,1.32,56.18,NA,NA,NA,NA,NA,NA,20.65,70.47,0.34,185.96,0.00,0.00,257.29,740.45,NA
2025-02-12 00:00:00,63.34,141.87,1.60,14.09,7.79,10.45,11.34,0.95,51.73,NA,NA,NA,NA,NA,NA,20.97,66.80,0.91,227.53,0.00,0.00,339.16,740.84,NA
