Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,109.00,171.46,5.35,44.58,28.06,22.56,19.15,1.05,44.64,NA,NA,NA,NA,NA,NA,21.09,64.40,1.43,113.81,0.00,0.00,210.80,703.72,NA
2021-01-02 00:00:00,97.78,162.27,5.17,37.92,24.37,18.74,20.93,1.06,52.96,NA,NA,NA,NA,NA,NA,23.58,62.30,1.49,136.33,0.00,0.00,204.45,703.12,NA
2021-01-03 00:00:00,108.58,172.27,9.04,42.78,30.10,20.69,21.47,1.15,52.03,NA,NA,NA,NA,NA,NA,23.65,66.44,1.06,134.52,0.00,0.00,196.80,701.68,NA
2021-01-04 00:00:00,97.28,149.95,6.85,41.30,27.54,18.38,19.55,1.08,40.24,NA,NA,NA,NA,NA,NA,21.94,71.20,1.36,106.00,0.01,0.80,139.86,702.16,NA
2021-01-05 00:00:00,68.26,118.31,7.16,38.42,26.26,15.06,14.83,1.01,39.70,NA,NA,NA,NA,NA,NA,22.63,65.42,1.56,134.73,0.00,0.00,195.53,702.98,NA
2021-01-06 00:00:00,108.54,178.89,21.04,56.63,47.23,21.95,19.52,1.66,32.96,NA,NA,NA,NA,NA,NA,23.11,71.59,0.70,173.30,0.00,0.00,203.62,702.80,NA
2021-01-07 00:00:00,91.73,132.74,4.72,34.63,22.26,21.38,11.71,1.03,39.59,NA,NA,NA,NA,NA,NA,22.68,75.46,1.41,91.93,0.00,0.00,198.75,701.74,NA
2021-01-08 00:00:00,81.85,121.55,3.85,30.25,19.22,19.94,11.01,0.94,36.65,NA,NA,NA,NA,NA,NA,22.96,73.53,1.22,120.85,0.00,0.00,199.45,701.04,NA
2021-01-09 00:00:00,67.82,92.68,8.82,35.29,25.94,21.03,7.84,1.19,30.18,NA,NA,NA,NA,NA,NA,20.99,88.92,0.97,124.12,0.06,5.40,113.45,702.14,NA
2021-01-10 00:00:00,70.61,111.59,4.17,26.13,17.29,22.34,11.18,0.83,39.91,NA,NA,NA,NA,NA,NA,21.78,83.79,1.48,94.31,0.00,0.00,204.43,703.14,NA
2021-01-11 00:00:00,72.81,118.81,8.16,32.85,24.11,18.87,9.04,1.01,35.38,NA,NA,NA,NA,NA,NA,21.37,86.19,1.19,112.38,0.00,0.00,176.97,704.43,NA
2021-01-12 00:00:00,67.60,120.95,8.66,38.07,27.29,16.28,9.79,1.00,37.49,NA,NA,NA,NA,NA,NA,19.98,77.79,1.36,100.83,0.00,0.00,224.11,704.90,NA
2021-01-13 00:00:00,43.61,97.02,10.99,49.37,35.20,12.93,15.39,0.88,34.92,NA,NA,NA,NA,NA,NA,18.73,57.82,1.29,94.34,0.00,0.00,242.15,704.01,NA
2021-01-14 00:00:00,30.83,77.69,6.12,46.11,29.50,11.50,7.52,0.77,36.80,NA,NA,NA,NA,NA,NA,19.93,50.35,1.24,87.89,0.00,0.00,243.96,703.11,NA
2021-01-15 00:00:00,43.71,108.49,9.58,48.69,33.69,14.22,17.41,0.95,35.37,NA,NA,NA,NA,NA,NA,21.83,52.34,1.15,129.00,0.00,0.00,210.55,701.64,NA
2021-01-16 00:00:00,50.44,122.81,10.66,50.82,35.69,14.66,14.28,1.22,37.45,NA,NA,NA,NA,NA,NA,25.81,49.88,1.03,119.96,0.00,0.00,213.83,701.23,NA
2021-01-17 00:00:00,52.18,115.79,4.94,38.13,24.30,15.61,18.41,0.88,52.75,NA,NA,NA,NA,NA,NA,33.04,51.75,1.34,126.43,0.00,0.00,211.57,701.14,NA
2021-01-18 00:00:00,66.76,153.79,14.47,48.48,37.56,15.61,19.84,1.30,42.99,NA,NA,NA,NA,NA,NA,24.22,56.12,1.12,177.27,0.00,0.00,209.02,702.31,NA
2021-01-19 00:00:00,101.50,187.95,6.91,53.93,34.30,23.14,18.38,1.27,38.05,NA,NA,NA,NA,NA,NA,NA,65.66,0.96,194.04,0.00,0.00,223.81,702.33,NA
2021-01-20 00:00:00,81.08,150.27,9.33,49.67,34.01,16.72,16.92,1.14,43.18,NA,NA,NA,NA,NA,NA,NA,59.31,1.19,116.68,0.00,0.00,226.74,703.60,NA
2021-01-21 00:00:00,55.46,116.48,16.69,55.23,42.95,12.91,10.71,1.12,35.74,NA,NA,NA,NA,NA,NA,23.44,45.82,0.95,103.65,0.00,0.00,237.96,703.53,NA
2021-01-22 00:00:00,69.81,174.48,52.03,76.97,83.23,15.45,13.95,2.04,26.60,NA,NA,NA,NA,NA,NA,20.99,46.81,0.76,153.56,0.00,0.00,233.23,702.96,NA
2021-01-23 00:00:00,83.24,187.06,25.89,78.92,63.03,20.94,16.71,1.63,53.97,NA,NA,NA,NA,NA,NA,22.05,53.86,0.89,227.74,0.00,0.00,227.40,702.08,NA
2021-01-24 00:00:00,68.64,196.41,9.68,52.62,35.85,18.23,11.79,1.01,71.47,NA,NA,NA,NA,NA,NA,20.44,57.86,0.92,225.76,0.00,0.00,244.81,703.41,NA
2021-01-25 00:00:00,80.85,210.47,5.91,41.49,26.87,17.24,13.52,1.03,70.49,NA,NA,NA,NA,NA,NA,18.18,55.10,1.63,117.72,0.00,0.00,240.34,705.01,NA
2021-01-26 00:00:00,73.22,150.90,4.76,44.78,27.69,16.88,11.77,0.88,43.42,NA,NA,NA,NA,NA,NA,17.44,54.33,1.31,117.64,0.00,0.00,246.49,704.64,NA
2021-01-27 00:00:00,67.09,135.69,7.00,48.05,31.24,15.78,15.21,0.97,45.14,NA,NA,NA,NA,NA,NA,16.93,52.28,1.56,104.17,0.00,0.00,246.27,704.46,NA
2021-01-28 00:00:00,59.83,125.10,5.13,41.19,26.08,16.29,15.40,0.95,47.54,NA,NA,NA,NA,NA,NA,17.55,54.42,1.59,117.32,0.00,0.00,240.32,704.52,NA
2021-01-29 00:00:00,63.43,134.80,14.23,52.03,39.25,16.21,15.42,1.10,41.40,NA,NA,NA,NA,NA,NA,17.58,49.85,1.56,96.54,0.00,0.00,245.18,706.07,NA
2021-01-30 00:00:00,47.22,104.91,12.05,53.84,38.43,15.14,10.79,0.98,36.43,NA,NA,NA,NA,NA,NA,17.40,38.80,1.36,86.81,0.00,0.00,247.22,705.35,NA
2021-01-31 00:00:00,51.48,119.45,25.32,66.70,56.06,17.77,11.57,1.40,37.06,NA,NA,NA,NA,NA,NA,18.11,37.62,0.98,107.43,0.00,0.00,241.67,705.41,NA
2021-02-01 00:00:00,59.15,137.77,36.73,76.71,70.67,20.21,10.68,1.75,36.01,NA,NA,NA,NA,NA,NA,19.25,38.65,0.81,119.05,0.00,0.00,233.47,707.06,NA
2021-02-02 00:00:00,74.51,169.10,47.06,105.14,94.18,20.65,16.43,1.93,30.93,NA,NA,NA,NA,NA,NA,19.39,39.78,0.35,160.36,0.00,0.00,232.47,706.43,NA
2021-02-03 00:00:00,89.44,210.03,61.34,124.94,100.84,23.96,12.77,1.58,27.81,NA,NA,NA,NA,NA,NA,19.87,39.48,0.30,181.38,0.00,0.00,226.18,704.83,NA
2021-02-04 00:00:00,100.31,229.92,92.58,93.93,129.12,26.02,13.39,1.93,29.72,NA,NA,NA,NA,NA,NA,19.94,42.42,0.62,195.23,0.00,0.00,214.61,704.14,NA
2021-02-05 00:00:00,51.81,134.08,10.82,51.45,36.16,22.87,18.10,0.82,36.48,NA,NA,NA,NA,NA,NA,18.29,46.46,1.35,182.99,0.00,0.00,227.66,704.33,NA
2021-02-06 00:00:00,46.85,110.55,20.92,54.83,46.17,18.47,12.52,1.15,38.27,NA,NA,NA,NA,NA,NA,16.10,45.74,1.70,103.29,0.00,0.00,244.38,705.91,NA
2021-02-07 00:00:00,33.91,88.96,17.91,53.62,43.07,16.67,10.50,1.04,45.74,NA,NA,NA,NA,NA,NA,16.17,43.69,1.40,96.29,0.00,0.00,255.57,706.52,NA
2021-02-08 00:00:00,45.26,99.00,37.32,69.10,65.93,15.78,8.01,1.55,31.63,NA,NA,NA,NA,NA,NA,16.95,43.06,0.99,116.83,0.00,0.00,243.50,706.35,NA
2021-02-09 00:00:00,87.45,202.93,90.33,81.55,116.02,22.35,14.85,2.43,29.61,NA,NA,NA,NA,NA,NA,18.41,48.62,0.73,147.47,0.00,0.00,231.88,704.31,NA
2021-02-10 00:00:00,73.25,190.09,86.78,76.77,111.02,21.41,9.25,2.25,30.51,NA,NA,NA,NA,NA,NA,20.30,43.88,0.82,175.73,0.00,0.00,230.20,702.30,NA
2021-02-11 00:00:00,90.62,223.97,84.68,72.57,107.45,21.58,23.60,2.29,30.68,NA,NA,NA,NA,NA,NA,20.20,44.99,0.99,144.53,0.00,0.00,227.81,702.21,NA
2021-02-12 00:00:00,36.66,117.28,20.89,60.04,48.92,15.43,11.07,1.22,39.21,NA,NA,NA,NA,NA,NA,21.64,36.38,1.12,109.75,0.00,0.00,226.62,702.65,NA
2021-02-13 00:00:00,59.17,166.88,48.03,68.74,74.41,18.28,15.99,1.33,39.73,NA,NA,NA,NA,NA,NA,22.38,39.22,0.94,130.22,0.00,0.00,220.80,702.90,NA
2021-02-14 00:00:00,75.79,201.00,36.60,72.97,68.57,22.12,16.18,1.62,34.50,NA,NA,NA,NA,NA,NA,21.86,44.68,0.73,184.50,0.00,0.00,222.91,702.98,NA
2021-02-15 00:00:00,69.76,210.16,60.33,81.65,92.48,21.64,15.90,1.78,30.21,NA,NA,NA,NA,NA,NA,21.90,44.49,0.71,205.35,0.00,0.00,217.62,701.94,NA
2021-02-16 00:00:00,NA,178.00,36.30,68.08,65.72,19.67,25.02,1.47,33.34,NA,NA,NA,NA,NA,NA,21.29,48.52,0.83,251.28,0.00,0.00,224.56,701.37,NA
2021-02-17 00:00:00,NA,NA,42.89,69.42,71.81,19.97,15.03,1.44,32.33,NA,NA,NA,NA,NA,NA,20.93,45.95,0.89,161.78,0.00,0.00,230.08,702.04,NA
2021-02-18 00:00:00,NA,NA,6.84,42.58,28.20,19.03,11.02,0.70,40.07,NA,NA,NA,NA,NA,NA,20.32,52.48,1.30,115.96,0.00,0.00,201.70,704.02,NA
