Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,51.69,135.89,3.64,23.37,27.06,19.02,13.93,0.92,71.43,3.14,NA,NA,NA,0.24,0.66,NA,NA,2.15,58.25,NA,0.00,NA,738.18,NA
2020-01-02 00:00:00,34.62,79.06,3.23,20.92,24.15,17.24,10.27,0.84,70.31,1.78,NA,NA,NA,0.16,0.55,NA,NA,2.06,64.92,NA,0.00,NA,738.59,NA
2020-01-03 00:00:00,36.20,95.63,5.03,37.34,42.37,26.21,10.30,0.63,54.32,2.73,NA,NA,NA,0.51,1.80,NA,NA,1.71,68.03,NA,0.00,NA,737.13,NA
2020-01-04 00:00:00,37.97,101.74,8.37,38.06,46.42,28.84,6.62,1.15,42.23,3.91,NA,NA,NA,0.99,3.79,NA,NA,1.38,133.54,NA,0.00,NA,736.63,NA
2020-01-05 00:00:00,46.55,124.84,17.21,45.51,62.72,36.84,6.77,0.81,31.32,5.54,NA,NA,NA,1.17,5.35,NA,NA,1.47,152.29,NA,0.00,NA,737.10,NA
2020-01-06 00:00:00,41.06,101.70,7.51,34.71,42.22,26.43,12.16,0.55,40.09,2.65,NA,NA,NA,0.58,2.67,NA,NA,1.36,149.24,NA,0.00,NA,737.24,NA
2020-01-07 00:00:00,36.72,89.98,3.55,20.21,23.76,16.90,8.80,0.92,57.91,2.20,NA,NA,NA,0.32,1.03,NA,NA,1.41,96.48,NA,0.00,NA,734.90,NA
2020-01-08 00:00:00,40.28,104.82,9.68,35.30,44.98,29.53,10.63,1.06,31.33,3.22,NA,NA,NA,0.57,2.25,NA,NA,1.87,180.66,NA,0.00,NA,733.82,NA
2020-01-09 00:00:00,25.44,53.55,7.30,35.56,42.85,23.23,11.98,0.71,49.18,1.84,NA,NA,NA,0.29,1.62,NA,NA,2.11,50.22,NA,0.00,NA,737.88,NA
2020-01-10 00:00:00,30.45,74.13,10.98,44.97,55.95,27.17,10.71,1.11,52.18,2.91,NA,NA,NA,0.60,2.42,NA,NA,1.45,92.90,NA,0.00,NA,738.66,NA
2020-01-11 00:00:00,37.55,96.52,14.60,53.50,68.11,35.17,10.87,1.13,42.33,3.97,NA,NA,NA,0.57,2.59,NA,NA,1.13,138.40,NA,0.00,NA,738.15,NA
2020-01-12 00:00:00,36.69,103.86,12.51,50.31,62.82,56.38,14.22,1.24,48.98,3.65,NA,NA,NA,1.16,2.52,NA,NA,1.28,133.24,NA,0.00,NA,735.89,NA
2020-01-13 00:00:00,35.80,105.91,14.93,43.21,58.13,29.49,15.06,0.74,43.03,6.67,NA,NA,NA,3.13,6.26,NA,NA,1.37,204.66,NA,0.00,NA,731.80,NA
2020-01-14 00:00:00,29.80,68.85,8.83,32.38,41.21,21.45,11.24,0.92,47.19,4.39,NA,NA,NA,2.35,4.29,NA,NA,1.66,107.52,NA,0.00,NA,734.43,NA
