Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-02,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-03,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-04,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-05,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-06,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-07,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-08,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-09,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-10,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-11,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-12,49.9,167.03,,2.53,0.0,11.4,,1.09,,0.0,0.0,,,,,,,,,,0.0,225.59,,
2024-01-13,44.26,114.93,,3.32,0.0,11.23,2.71,0.97,,0.0,0.0,,,,,,,,,,0.0,246.53,,
2024-01-14,28.5,120.91,,1.94,0.0,11.83,2.73,0.87,,0.0,0.0,,,,,,,,,,0.0,246.87,,
2024-01-15,51.68,135.61,12.6,2.98,0.47,11.45,2.9,0.88,,0.0,0.0,,,,,,,,,,0.0,251.81,,
2024-01-16,78.6,134.32,0.24,2.35,0.03,11.71,3.18,0.87,,0.0,0.0,,,,,,,,,,0.0,247.99,,
2024-01-17,60.69,123.02,,2.94,0.0,11.8,2.99,0.87,,0.0,0.0,,,,,,,,,,0.0,248.69,,
2024-01-18,28.5,115.62,,3.41,0.0,11.57,3.44,0.92,,0.0,0.0,,,,,,,,,,0.0,247.2,,
2024-01-19,28.5,118.7,,3.59,0.0,11.41,4.32,0.94,,0.0,0.0,,,,,,,,,,0.0,248.96,,
2024-01-20,28.5,90.66,,2.91,0.0,11.73,3.6,0.9,,0.0,0.0,,,,,,,,,,0.0,249.95,,
2024-01-21,28.5,80.86,,2.38,0.0,11.95,2.92,0.88,,0.0,0.0,,,,,,,,,,0.0,246.23,,
2024-01-22,28.5,97.18,,3.24,0.0,11.63,2.78,0.9,,0.0,0.0,,,,,,,,,,0.0,253.01,,
2024-01-23,28.5,84.78,,1.23,0.0,12.34,2.78,0.86,,0.0,0.0,,,,,,,,,,0.0,268.34,,
2024-01-24,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-25,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-26,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-27,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-28,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-29,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-30,28.5,85.74,12.16,3.38,3.47,12.57,28.83,1.24,,0.0,0.0,,,,,,,,,,0.0,269.96,,
2024-01-31,28.5,98.94,2.76,3.5,0.67,11.39,20.29,1.18,,0.0,0.0,,,,,,,,,,0.0,257.38,,
2024-02-01,28.5,87.36,0.72,3.66,0.06,11.7,14.62,1.18,,0.0,0.0,,,,,,,,,,0.0,254.59,,
2024-02-02,28.5,81.95,0.07,2.91,0.01,11.9,8.13,1.21,,0.0,0.0,,,,,,,,,,0.0,255.6,,
2024-02-03,28.5,81.33,1.53,3.34,0.18,11.66,22.89,1.2,,0.0,0.0,,,,,,,,,,0.0,249.78,,
2024-02-04,28.5,100.41,0.24,2.03,0.0,12.01,21.12,1.16,,0.0,0.0,,,,,,,,,,0.0,245.73,,
2024-02-05,28.5,105.65,,3.83,0.26,12.14,1.14,1.2,,0.0,0.0,,,,,,,,,,0.0,251.45,,
2024-02-06,28.5,112.38,0.12,5.77,0.39,11.23,2.51,1.23,,0.0,0.0,,,,,,,,,,0.0,248.93,,
2024-02-07,38.39,119.74,3.11,4.05,0.36,11.5,1.22,1.25,,0.0,0.0,,,,,,,,,,0.0,249.53,,
2024-02-08,64.34,112.11,,3.85,0.0,11.66,0.43,1.25,,0.0,0.0,,,,,,,,,,0.0,251.23,,
2024-02-09,56.79,105.63,,3.73,0.02,11.72,0.55,1.25,,0.0,0.0,,,,,,,,,,0.0,249.02,,
2024-02-10,59.09,102.95,,4.16,0.03,11.66,0.5,1.26,,0.0,0.0,,,,,,,,,,0.0,250.78,,
2024-02-11,56.21,98.4,,2.17,0.0,12.04,0.46,1.21,,0.0,0.0,,,,,,,,,,0.0,247.23,,
2024-02-12,59.6,102.63,7.3,3.11,0.44,11.88,5.68,1.25,,0.0,0.0,,,,,,,,,,0.0,246.55,,
2024-02-13,53.77,97.34,,4.08,0.13,11.64,6.95,1.31,,0.0,0.0,,,,,,,,,,0.0,250.75,,
2024-02-14,46.63,77.71,41.22,3.27,2.99,12.25,14.65,1.25,,0.0,0.0,,,,,,,,,,0.0,253.4,,
2024-02-15,49.16,81.77,,3.82,0.0,11.69,9.67,1.26,,0.0,0.0,,,,,,,,,,0.0,255.64,,
2024-02-16,53.85,98.06,,3.86,0.02,11.67,7.59,1.28,,0.0,0.0,,,,,,,,,,0.0,253.31,,
2024-02-17,53.01,95.41,0.6,4.3,0.2,11.32,7.75,1.31,,0.0,0.0,,,,,,,,,,0.0,255.69,,
2024-02-18,59.7,100.99,,2.68,0.0,12.15,5.14,1.3,,0.0,0.0,,,,,,,,,,0.0,249.89,,
2024-02-19,50.74,93.03,,3.73,0.0,11.63,4.91,1.27,,0.0,0.0,,,,,,,,,,0.0,254.18,,
2024-02-20,48.33,99.55,3.64,3.09,0.16,11.82,12.19,1.25,,0.0,0.0,,,,,,,,,,0.0,248.99,,
2024-02-21,42.14,87.04,,2.68,0.01,12.04,10.49,1.25,,0.0,0.0,,,,,,,,,,0.0,253.06,,
2024-02-22,29.66,61.76,2.9,2.09,0.18,12.82,4.33,1.19,,0.0,0.0,,,,,,,,,,0.0,249.34,,
2024-02-23,30.8,66.08,,1.99,0.01,12.88,4.65,1.2,,0.0,0.0,,,,,,,,,,0.0,250.99,,
2024-02-24,32.25,80.09,,1.81,0.0,12.87,4.42,1.22,,0.0,0.0,,,,,,,,,,0.0,258.8,,
2024-02-25,27.46,75.82,,1.77,0.01,12.96,3.7,1.19,,0.0,0.0,,,,,,,,,,0.0,253.43,,
2024-02-26,24.88,68.28,0.02,2.04,0.01,12.87,3.51,1.18,,0.0,0.0,,,,,,,,,,0.0,253.26,,
2024-02-27,32.25,65.37,,2.26,0.0,12.89,3.42,1.21,,0.0,0.0,,,,,,,,,,0.0,253.36,,
2024-02-28,36.83,73.25,0.78,2.35,0.02,12.9,3.46,1.22,,0.0,0.0,,,,,,,,,,0.0,257.32,,
2024-02-29,40.64,86.4,,2.33,0.0,12.9,3.78,1.25,,0.0,0.0,,,,,,,,,,0.0,259.91,,
2024-03-01,39.07,70.19,,2.6,0.0,12.92,3.54,1.24,,0.0,0.0,,,,,,,,,,0.0,253.35,,
2024-03-02,54.93,96.42,,2.67,0.0,12.8,3.19,1.29,,0.0,0.0,,,,,,,,,,0.0,251.45,,
2024-03-03,53.81,86.84,,1.35,0.0,12.94,3.82,1.32,,0.0,0.0,,,,,,,,,,0.0,257.91,,
2024-03-04,32.88,74.4,,1.11,0.0,12.91,3.84,1.25,,0.0,0.0,,,,,,,,,,0.0,247.07,,
2024-03-05,31.35,74.1,,1.14,0.0,12.91,3.64,1.21,,0.0,0.0,,,,,,,,,,0.0,255.05,,
2024-03-06,18.34,53.66,28.56,1.19,1.0,13.07,5.39,1.18,,0.0,0.0,,,,,,,,,,0.0,257.14,,
2024-03-07,32.21,66.54,,1.39,0.0,12.94,2.3,1.21,,0.0,0.0,,,,,,,,,,0.0,252.87,,
2024-03-08,34.9,71.91,,1.3,0.0,12.9,3.26,1.23,,0.0,0.0,,,,,,,,,,0.0,250.66,,
2024-03-09,20.58,56.0,1.91,1.13,0.03,12.92,3.05,1.2,,0.0,0.0,,,,,,,,,,0.0,252.44,,
2024-03-10,30.95,56.0,,1.09,0.0,12.93,2.74,1.21,,0.0,0.0,,,,,,,,,,0.0,251.71,,
