Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,28.79,54.73,34.89,23.04,40.17,4.18,5.79,0.48,5.75,NA,NA,NA,NA,NA,NA,NA,67.45,1.02,192.37,0.00,0.00,NA,NA,NA
2022-01-02 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2022-01-03 00:00:00,38.77,80.21,72.80,6.53,61.72,4.99,4.23,0.66,5.64,NA,NA,NA,NA,NA,NA,NA,71.10,0.75,238.13,0.00,0.00,NA,NA,NA
2022-01-04 00:00:00,29.19,60.37,31.29,36.47,44.44,5.00,6.06,0.67,7.21,NA,NA,NA,NA,NA,NA,NA,58.39,1.32,175.49,0.00,0.00,NA,NA,NA
2022-01-05 00:00:00,28.53,57.90,31.33,31.59,41.87,4.73,7.26,0.55,8.72,NA,NA,NA,NA,NA,NA,NA,66.00,1.00,212.20,0.00,0.00,NA,NA,NA
2022-01-06 00:00:00,26.89,53.53,23.80,42.08,41.43,3.94,7.10,0.57,10.31,NA,NA,NA,NA,NA,NA,NA,65.90,1.45,173.05,0.00,0.00,NA,NA,NA
2022-01-07 00:00:00,27.21,52.50,29.89,29.25,39.47,4.15,6.36,0.74,9.75,NA,NA,NA,NA,NA,NA,NA,68.81,0.97,199.71,0.00,0.00,NA,NA,NA
2022-01-08 00:00:00,18.36,36.31,35.99,16.78,37.72,3.86,6.35,0.38,9.73,NA,NA,NA,NA,NA,NA,NA,73.82,0.39,238.54,0.00,0.00,NA,NA,NA
2022-01-09 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2022-01-10 00:00:00,27.70,54.95,31.53,28.91,40.60,4.32,5.08,0.53,8.16,NA,NA,NA,NA,NA,NA,NA,57.52,1.80,182.74,0.00,0.00,NA,NA,NA
2022-01-11 00:00:00,22.79,46.90,24.59,24.87,32.90,4.22,5.26,0.67,8.07,NA,NA,NA,NA,NA,NA,NA,67.32,1.71,195.30,0.00,0.00,NA,NA,NA
2022-01-12 00:00:00,20.96,40.98,23.21,21.85,30.19,3.84,5.60,0.61,9.65,NA,NA,NA,NA,NA,NA,NA,68.13,1.88,211.37,0.00,0.00,NA,NA,NA
2022-01-13 00:00:00,20.51,40.56,31.39,19.54,35.51,3.98,5.00,0.57,11.35,NA,NA,NA,NA,NA,NA,NA,64.82,1.35,211.87,0.00,0.00,NA,NA,NA
2022-01-14 00:00:00,26.63,53.48,44.88,18.53,45.76,4.15,4.57,0.69,9.51,NA,NA,NA,NA,NA,NA,NA,62.90,1.10,211.45,0.00,0.00,NA,NA,NA
2022-01-15 00:00:00,28.84,56.33,31.70,25.49,38.92,3.98,5.15,0.57,9.93,NA,NA,NA,NA,NA,NA,NA,63.86,1.27,210.83,0.00,0.00,NA,NA,NA
2022-01-16 00:00:00,23.00,45.30,24.65,22.11,31.48,3.85,5.44,0.43,10.79,NA,NA,NA,NA,NA,NA,NA,65.58,1.19,205.70,0.00,0.00,NA,NA,NA
2022-01-17 00:00:00,24.83,49.17,36.74,23.20,41.73,4.45,5.63,0.73,11.95,NA,NA,NA,NA,NA,NA,NA,67.87,1.28,215.36,0.00,0.00,NA,NA,NA
2022-01-18 00:00:00,26.52,47.77,31.53,25.14,38.60,4.34,5.50,0.73,13.24,NA,NA,NA,NA,NA,NA,NA,68.36,1.29,210.59,0.00,0.00,NA,NA,NA
2022-01-19 00:00:00,23.66,45.11,28.20,29.51,38.26,4.55,5.08,0.79,10.07,NA,NA,NA,NA,NA,NA,NA,69.60,1.40,212.39,0.00,0.00,NA,NA,NA
2022-01-20 00:00:00,26.15,50.05,26.73,29.51,37.09,4.36,5.03,0.80,9.87,NA,NA,NA,NA,NA,NA,NA,69.83,1.33,214.65,0.00,0.00,NA,NA,NA
2022-01-21 00:00:00,24.91,48.25,24.05,29.25,34.80,4.06,5.27,0.75,9.42,NA,NA,NA,NA,NA,NA,NA,72.40,1.17,195.02,0.00,0.00,NA,NA,NA
2022-01-22 00:00:00,24.39,46.19,26.92,24.64,34.64,3.76,5.58,0.45,7.81,NA,NA,NA,NA,NA,NA,NA,67.80,1.56,214.07,0.00,0.00,NA,NA,NA
