Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,33.54,67.09,5.92,11.39,16.70,11.39,8.88,1.55,13.51,0.34,1.15,NA,NA,NA,NA,NA,99.09,0.61,242.67,NA,NA,108.10,NA,NA
2025-01-02 00:00:00,33.64,67.28,6.23,11.33,16.91,11.33,10.70,1.85,12.32,0.34,1.15,NA,NA,NA,NA,NA,99.36,0.52,254.52,NA,NA,108.73,NA,NA
2025-01-03 00:00:00,31.47,62.93,5.91,11.15,16.46,11.15,10.59,2.08,18.10,0.34,1.15,NA,NA,NA,NA,NA,99.39,0.30,224.44,NA,NA,110.91,NA,NA
2025-01-04 00:00:00,37.64,75.29,11.74,16.12,25.53,16.12,10.87,2.33,19.02,0.34,1.15,NA,NA,NA,NA,NA,99.44,0.41,167.50,NA,NA,110.90,NA,NA
2025-01-05 00:00:00,35.14,70.28,7.48,12.64,19.20,12.64,9.79,1.71,19.74,0.34,1.15,NA,NA,NA,NA,NA,97.17,0.37,175.30,NA,NA,130.09,NA,NA
2025-01-06 00:00:00,32.89,65.78,7.06,11.92,18.26,11.92,9.68,1.49,16.29,0.34,1.15,NA,NA,NA,NA,NA,99.53,0.55,251.24,NA,NA,107.99,NA,NA
2025-01-07 00:00:00,35.66,71.31,6.68,12.03,17.98,12.01,9.62,2.26,12.94,0.34,1.15,NA,NA,NA,NA,NA,99.45,0.63,252.06,NA,NA,106.82,NA,NA
2025-01-08 00:00:00,34.26,68.52,7.00,11.98,18.22,11.98,9.81,2.80,11.46,0.34,1.15,NA,NA,NA,NA,NA,89.65,0.50,243.45,NA,NA,115.79,NA,NA
2025-01-09 00:00:00,63.03,126.05,6.74,11.41,17.37,11.41,11.48,2.39,15.79,0.34,1.15,NA,NA,NA,NA,NA,96.33,0.28,191.26,NA,NA,106.81,NA,NA
2025-01-10 00:00:00,40.50,81.01,5.58,11.16,16.14,11.16,10.55,1.62,18.50,0.34,1.15,NA,NA,NA,NA,NA,99.38,0.37,140.75,NA,NA,108.04,NA,NA
2025-01-11 00:00:00,33.27,66.45,7.58,12.07,18.57,12.07,10.64,1.16,16.22,0.34,1.15,NA,NA,NA,NA,NA,99.24,0.41,122.39,NA,NA,106.41,NA,NA
2025-01-12 00:00:00,21.96,43.92,6.55,11.91,17.79,11.91,9.93,0.87,9.79,0.34,1.15,NA,NA,NA,NA,NA,97.33,0.39,153.78,NA,NA,99.88,NA,NA
2025-01-13 00:00:00,22.53,45.08,6.04,11.99,17.43,11.99,9.19,0.88,16.24,0.34,1.15,NA,NA,NA,NA,NA,86.87,0.66,258.61,NA,NA,123.00,NA,NA
2025-01-14 00:00:00,47.05,94.10,7.96,13.48,20.93,13.48,10.06,1.41,13.62,0.34,1.15,NA,NA,NA,NA,NA,81.28,0.53,242.30,NA,NA,120.53,NA,NA
2025-01-15 00:00:00,55.81,111.62,7.60,13.16,20.33,13.16,10.69,1.73,9.51,0.34,1.15,NA,NA,NA,NA,NA,91.10,0.32,190.82,NA,NA,123.93,NA,NA
2025-01-16 00:00:00,30.63,55.05,7.83,13.38,20.79,13.38,8.99,1.28,10.17,0.34,1.15,NA,NA,NA,NA,NA,93.67,0.50,177.49,NA,NA,127.78,NA,NA
2025-01-17 00:00:00,36.53,66.62,7.66,13.47,20.64,13.47,9.43,1.28,9.87,0.34,1.15,NA,NA,NA,NA,NA,96.70,0.82,263.40,NA,NA,127.12,NA,NA
2025-01-18 00:00:00,75.23,150.45,7.47,13.12,20.10,13.12,9.92,1.48,10.12,0.34,1.15,NA,NA,NA,NA,NA,95.20,0.31,214.96,NA,NA,128.17,NA,NA
2025-01-19 00:00:00,61.54,123.08,7.49,13.33,20.38,13.33,10.73,1.52,11.46,0.34,1.15,NA,NA,NA,NA,NA,84.88,0.43,244.19,NA,NA,147.97,NA,NA
