Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,21.54,28.44,NA,18.22,20.83,20.98,4.63,0.48,31.74,1.27,3.24,0.17,NA,0.21,0.56,22.82,75.00,0.87,100.32,0.00,0.00,209.97,873.15,NA
2020-01-02 00:00:00,18.89,24.94,NA,21.47,29.70,27.23,5.08,0.68,25.17,1.85,5.55,0.34,NA,0.35,1.10,23.07,76.68,0.55,96.61,0.00,0.00,189.78,871.66,NA
2020-01-03 00:00:00,33.37,44.05,NA,17.93,25.79,23.89,5.49,0.63,31.13,0.45,1.24,0.15,NA,0.41,0.30,24.14,70.93,0.37,123.36,0.00,0.00,191.00,871.04,NA
2020-01-04 00:00:00,32.90,43.43,NA,15.59,24.77,22.36,5.46,0.72,32.45,0.09,0.02,0.02,NA,0.01,NA,24.82,68.63,0.40,239.92,0.00,0.00,197.97,871.25,NA
2020-01-05 00:00:00,25.60,33.79,NA,12.99,22.36,19.23,5.09,0.69,36.88,0.00,0.07,0.00,NA,0.81,NA,24.46,65.35,0.44,121.23,0.00,0.00,208.94,871.36,NA
2020-01-06 00:00:00,26.27,34.67,NA,6.50,11.11,10.88,4.83,0.44,28.37,0.02,0.02,0.02,NA,0.48,0.01,23.33,73.18,0.94,101.06,0.00,0.00,196.74,873.47,NA
2020-01-07 00:00:00,15.53,20.50,NA,3.55,6.34,7.01,5.19,0.38,32.43,0.08,0.01,0.01,NA,NA,NA,23.69,67.27,1.04,107.72,0.00,0.00,207.29,874.08,NA
2020-01-08 00:00:00,21.12,27.88,NA,7.80,15.07,13.40,11.70,0.56,36.89,0.12,0.03,0.01,NA,NA,NA,23.40,65.60,0.51,113.41,0.00,0.00,192.23,871.75,NA
2020-01-09 00:00:00,32.60,43.03,NA,18.12,35.21,28.34,6.22,1.10,47.51,0.07,0.08,0.03,NA,0.37,0.08,25.53,57.09,0.57,114.37,0.00,0.00,206.29,872.10,NA
2020-01-10 00:00:00,31.17,41.14,NA,2.97,5.99,6.87,5.78,0.44,49.06,0.03,0.01,0.00,NA,0.04,0.01,23.19,62.86,0.87,100.54,0.00,0.00,183.78,873.21,NA
