Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,78.66,147.88,0.12,4.84,2.56,2.05,3.05,1.03,52.42,5.30,20.91,NA,NA,1.49,8.61,NA,NA,2.33,208.15,NA,NA,96.82,NA,NA
2020-01-02 00:00:00,68.26,126.57,1.93,4.82,3.05,2.51,2.98,0.94,54.66,4.62,16.13,NA,NA,0.88,6.44,NA,NA,2.43,210.54,NA,NA,88.54,NA,NA
2020-01-03 00:00:00,51.10,83.37,3.11,4.74,3.44,2.94,2.52,0.80,51.78,3.66,11.90,NA,NA,0.77,3.31,NA,NA,1.72,190.22,NA,NA,82.51,NA,NA
2020-01-04 00:00:00,64.65,101.08,3.08,7.26,4.73,2.96,4.16,1.21,50.68,7.04,19.84,NA,NA,2.28,14.50,NA,NA,2.32,138.68,NA,NA,66.07,NA,NA
2020-01-05 00:00:00,51.45,80.27,3.10,5.62,3.89,2.71,8.13,0.91,62.37,3.65,14.86,NA,NA,1.12,9.24,NA,NA,2.88,136.81,NA,NA,91.72,NA,NA
2020-01-06 00:00:00,46.58,96.38,3.19,8.80,5.62,2.57,6.09,1.30,54.59,4.64,22.65,NA,NA,3.61,19.00,NA,NA,2.57,138.37,NA,NA,88.75,NA,NA
2020-01-07 00:00:00,58.32,117.91,3.21,8.02,5.22,3.33,3.38,1.29,46.00,5.64,29.87,NA,NA,4.91,25.31,NA,NA,2.41,201.13,NA,NA,68.76,NA,NA
2020-01-08 00:00:00,47.24,114.01,3.12,4.49,3.32,3.70,2.44,0.71,38.51,2.77,15.08,NA,NA,0.72,3.64,NA,NA,2.44,232.66,NA,NA,71.88,NA,NA
2020-01-09 00:00:00,45.25,77.97,3.13,5.70,3.96,2.95,5.32,0.76,46.81,3.14,14.02,NA,NA,0.75,6.11,NA,NA,2.33,134.02,NA,NA,92.75,NA,NA
2020-01-10 00:00:00,41.00,78.09,3.10,5.62,3.89,2.52,7.39,0.79,60.88,3.69,13.27,NA,NA,0.91,9.26,NA,NA,3.00,126.37,NA,NA,84.45,NA,NA
2020-01-11 00:00:00,53.73,94.75,3.18,8.90,5.65,2.46,6.26,1.32,60.87,6.31,25.24,NA,NA,4.54,21.83,NA,NA,2.65,130.89,NA,NA,90.37,NA,NA
2020-01-12 00:00:00,68.26,111.62,3.13,8.89,5.62,2.94,4.97,1.37,52.09,6.70,31.06,NA,NA,5.34,26.89,NA,NA,2.11,163.51,NA,NA,77.94,NA,NA
2020-01-13 00:00:00,51.51,92.56,3.10,5.06,3.60,3.43,2.48,0.79,44.97,3.74,18.53,NA,NA,1.40,9.00,NA,NA,2.00,217.13,NA,NA,66.91,NA,NA
2020-01-14 00:00:00,29.80,61.92,3.11,4.05,3.08,3.62,2.51,0.52,41.40,2.08,11.77,NA,NA,0.50,3.24,NA,NA,1.66,188.98,NA,NA,66.14,NA,NA
2020-01-15 00:00:00,31.83,58.04,3.10,4.09,3.09,3.25,2.55,0.56,54.86,2.46,12.45,NA,NA,0.57,2.79,NA,NA,2.09,205.36,NA,NA,68.05,NA,NA
2020-01-16 00:00:00,29.11,62.01,3.11,3.24,2.66,2.33,2.57,0.46,62.09,1.65,9.37,NA,NA,0.35,1.34,NA,NA,2.05,253.49,NA,NA,53.68,NA,NA
2020-01-17 00:00:00,47.73,71.38,3.11,7.20,4.70,2.24,5.03,1.00,56.06,4.31,20.13,NA,NA,2.50,13.67,NA,NA,1.67,148.51,NA,NA,101.80,NA,NA
2020-01-18 00:00:00,63.62,112.62,3.21,10.41,6.38,2.41,6.61,1.57,48.96,7.91,32.45,NA,NA,6.07,29.80,NA,NA,1.82,170.94,NA,NA,95.55,NA,NA
2020-01-19 00:00:00,75.53,102.03,3.18,8.74,5.57,2.93,2.72,1.42,51.37,6.68,29.77,NA,NA,5.43,26.78,NA,NA,1.97,163.36,NA,NA,87.72,NA,NA
2020-01-20 00:00:00,61.80,101.57,3.22,9.17,5.80,3.09,4.33,1.26,43.57,5.31,28.27,NA,NA,4.86,24.76,NA,NA,2.00,188.94,NA,NA,84.05,NA,NA
