Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,61.66,109.25,6.21,9.97,16.18,10.43,5.89,1.38,6.27,3.52,68.60,3.54,NA,8.59,6.51,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 00:00:00,81.77,142.70,6.44,9.92,16.36,10.49,NA,1.51,NA,3.54,68.56,3.53,NA,8.56,6.54,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-03 00:00:00,79.32,138.69,6.48,9.88,16.36,10.59,NA,1.41,NA,3.54,68.53,3.53,NA,8.60,6.52,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-04 00:00:00,77.62,134.96,6.26,9.83,16.10,10.51,NA,1.39,NA,3.52,68.54,3.53,NA,8.55,6.50,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-05 00:00:00,93.53,164.79,6.38,10.00,16.36,10.44,NA,1.36,NA,3.53,68.64,3.53,NA,8.60,6.56,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-06 00:00:00,40.50,70.64,6.55,9.97,16.53,10.51,5.38,0.97,NA,3.53,68.59,3.54,NA,8.59,6.52,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-07 00:00:00,48.29,84.11,6.25,9.95,16.20,10.57,6.82,1.07,NA,3.51,68.63,3.53,NA,8.61,6.50,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-08 00:00:00,22.45,41.70,6.39,9.91,16.30,10.48,6.10,0.77,13.24,3.55,68.53,3.52,NA,8.57,6.50,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-09 00:00:00,21.11,38.62,6.54,9.94,16.47,10.60,6.78,0.79,11.42,3.54,68.46,3.54,NA,8.58,6.51,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-10 00:00:00,35.85,64.40,6.37,9.95,16.32,10.52,5.49,0.86,10.35,3.53,68.67,3.54,NA,8.62,6.54,NA,NA,NA,NA,NA,0.00,NA,NA,NA
