Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,90.44,142.18,5.29,42.90,27.15,30.29,6.79,0.58,6.77,2.68,1.59,0.58,NA,NA,NA,22.97,30.94,1.74,240.01,0.00,0.00,89.58,749.53,NA
2025-01-02 00:00:00,88.04,140.09,4.82,49.17,30.10,14.81,7.11,0.57,6.43,2.19,1.78,0.57,NA,NA,NA,22.13,49.06,1.71,246.39,0.00,0.00,88.61,749.61,NA
2025-01-03 00:00:00,105.79,216.94,21.56,68.06,53.73,14.09,8.51,0.76,8.40,3.16,3.32,1.64,NA,NA,NA,21.41,55.95,1.12,227.32,0.00,0.00,91.38,749.98,NA
2025-01-04 00:00:00,99.42,188.86,20.40,66.91,52.22,11.18,6.86,0.87,8.10,2.66,2.56,1.49,NA,NA,NA,22.31,52.23,1.14,214.48,0.00,0.00,104.89,749.07,NA
2025-01-05 00:00:00,110.97,225.67,31.45,69.59,62.63,12.48,5.72,0.77,7.60,3.03,3.34,2.51,NA,NA,NA,22.16,50.54,1.03,231.79,0.00,0.00,95.82,749.18,NA
2025-01-06 00:00:00,118.85,268.65,33.51,77.54,68.52,13.11,7.90,1.00,7.10,4.01,4.10,2.40,NA,NA,NA,22.74,56.72,1.04,223.47,0.00,0.00,89.33,748.60,NA
2025-01-07 00:00:00,119.13,274.76,42.76,76.44,75.42,12.24,7.08,0.91,6.33,4.87,5.19,3.70,NA,NA,NA,22.38,52.41,1.23,245.29,0.00,0.00,88.53,748.26,NA
2025-01-08 00:00:00,108.69,230.19,27.76,74.83,62.42,13.37,8.53,0.83,8.39,4.30,4.70,2.75,NA,NA,NA,23.20,51.35,1.13,238.62,0.00,0.00,90.80,748.52,NA
2025-01-09 00:00:00,94.68,187.95,12.32,62.41,43.25,11.40,7.26,0.67,31.91,3.34,3.47,2.29,NA,NA,NA,22.83,63.05,1.94,252.33,0.00,0.00,87.67,749.98,NA
2025-01-10 00:00:00,80.23,154.00,7.70,57.34,36.80,10.32,6.27,0.57,85.60,2.47,1.90,1.17,NA,NA,NA,21.83,64.60,1.99,244.71,0.00,0.00,91.79,751.45,NA
2025-01-11 00:00:00,93.82,155.70,5.19,50.49,31.08,11.42,7.05,0.57,43.05,2.10,1.45,0.42,NA,NA,NA,21.63,61.59,2.34,243.75,0.00,0.00,86.41,751.27,NA
2025-01-12 00:00:00,78.77,135.02,5.31,49.43,30.65,9.99,6.35,0.48,14.70,1.83,1.15,0.37,NA,NA,NA,22.19,62.07,2.25,248.63,0.00,0.00,88.97,750.57,NA
2025-01-13 00:00:00,107.62,188.91,22.06,65.29,52.69,11.85,7.06,0.76,7.50,3.42,2.39,0.96,NA,NA,NA,22.10,51.09,1.50,231.87,0.00,0.00,94.70,749.36,NA
2025-01-14 00:00:00,54.72,118.10,15.82,50.80,39.92,8.81,7.03,0.60,7.74,2.94,2.23,1.02,NA,NA,NA,22.79,41.00,1.65,242.97,0.00,0.00,90.71,750.79,NA
2025-01-15 00:00:00,69.26,113.34,4.66,39.75,24.99,10.25,7.56,0.53,16.46,1.48,0.75,0.12,NA,NA,NA,23.21,47.43,2.42,254.39,0.00,0.00,110.57,751.36,NA
2025-01-16 00:00:00,106.91,171.89,4.38,43.44,26.73,13.20,7.45,0.62,17.46,1.81,0.76,0.25,NA,NA,NA,24.31,52.12,2.39,219.25,0.00,0.00,113.18,750.74,NA
2025-01-17 00:00:00,97.27,160.24,9.03,43.64,30.59,15.19,6.67,0.76,18.93,1.92,0.87,0.20,NA,NA,NA,22.26,60.81,2.55,248.44,0.00,0.00,80.61,749.56,NA
2025-01-18 00:00:00,62.09,114.65,6.52,30.87,15.93,8.89,5.74,0.90,16.27,1.84,0.94,0.38,NA,NA,NA,22.87,68.26,2.36,255.78,0.00,0.00,99.65,747.00,NA
2025-01-19 00:00:00,74.72,137.87,5.89,48.71,30.74,10.52,6.75,0.52,12.42,2.31,1.45,0.40,NA,NA,NA,22.98,67.92,1.91,249.61,0.00,0.00,96.35,751.11,NA
2025-01-20 00:00:00,102.33,271.83,36.21,90.25,77.44,12.62,8.22,0.85,8.38,4.92,6.34,3.52,NA,NA,NA,23.01,63.20,1.09,249.78,0.00,0.00,102.49,749.39,NA
2025-01-21 00:00:00,116.20,246.84,32.11,90.98,74.54,14.18,7.24,0.84,8.50,4.09,5.26,3.54,NA,NA,NA,22.34,70.20,0.99,237.93,0.00,0.00,107.31,748.79,NA
2025-01-22 00:00:00,115.66,260.67,40.42,91.03,81.27,15.74,6.80,0.82,8.85,4.10,4.94,3.37,NA,NA,NA,21.69,67.80,1.06,238.74,0.00,0.00,105.77,749.53,NA
2025-01-23 00:00:00,97.39,203.76,39.90,76.81,73.35,15.76,6.21,0.84,7.38,3.65,4.53,2.85,NA,NA,NA,23.21,53.18,1.10,229.34,0.00,0.00,129.46,750.97,NA
2025-01-24 00:00:00,107.72,245.71,51.38,76.76,82.65,13.94,6.55,0.88,7.17,5.00,4.70,2.47,NA,NA,NA,21.38,40.11,1.18,255.29,0.00,0.00,105.45,750.00,NA
2025-01-25 00:00:00,79.80,190.19,47.87,71.67,77.07,12.01,6.82,1.10,5.56,5.43,5.93,1.81,NA,NA,NA,21.81,28.60,1.09,238.37,0.00,0.00,95.26,749.25,NA
2025-01-26 00:00:00,58.89,152.46,39.92,62.10,65.52,11.86,8.11,0.73,6.15,4.12,4.55,1.93,NA,NA,NA,22.68,39.37,1.06,234.40,0.00,0.00,96.46,748.99,NA
2025-01-27 00:00:00,78.60,149.24,32.24,60.94,58.67,12.75,7.40,0.58,7.19,4.97,3.35,1.55,NA,NA,NA,22.81,32.68,1.38,239.96,0.00,0.00,97.97,748.11,NA
2025-01-28 00:00:00,66.15,123.26,16.57,59.49,45.16,12.39,6.85,0.52,6.72,2.41,9.43,0.99,NA,NA,NA,23.88,24.54,1.64,242.77,0.00,0.00,101.06,748.57,NA
2025-01-29 00:00:00,68.23,118.15,7.90,47.30,31.62,13.95,7.35,0.55,9.99,1.19,1.08,0.52,NA,NA,NA,24.61,38.55,1.41,220.19,0.00,0.00,99.33,749.98,NA
2025-01-30 00:00:00,84.45,183.98,25.49,66.51,56.14,14.49,5.78,0.74,7.73,2.96,2.71,1.50,NA,NA,NA,23.77,40.04,1.13,262.96,0.01,1.00,52.16,748.78,NA
2025-01-31 00:00:00,68.81,149.11,17.70,58.54,45.57,12.64,7.31,0.49,7.36,3.66,7.66,1.26,NA,NA,NA,24.09,27.85,1.74,253.48,0.00,0.00,105.80,748.12,NA
2025-02-01 00:00:00,57.85,139.02,27.02,52.09,49.72,10.82,5.27,0.62,7.37,3.26,7.34,1.09,NA,NA,NA,23.94,15.79,1.61,247.37,0.00,0.00,95.37,748.55,NA
2025-02-02 00:00:00,64.62,145.86,17.49,56.93,44.55,13.11,7.18,0.63,11.59,3.31,11.30,0.77,NA,NA,NA,24.33,15.13,1.38,245.06,0.00,0.00,97.69,748.58,NA
2025-02-03 00:00:00,65.25,156.14,36.93,70.81,67.69,10.14,6.98,0.79,8.35,4.05,10.34,1.67,NA,NA,NA,26.43,41.10,1.29,239.96,0.00,0.00,99.88,747.91,NA
2025-02-04 00:00:00,60.57,161.43,24.93,54.96,49.31,11.61,7.29,0.63,8.07,1.94,5.18,0.87,NA,NA,NA,26.08,42.22,1.32,213.63,0.00,0.00,93.61,748.41,NA
2025-02-05 00:00:00,68.05,180.18,24.48,62.44,53.16,14.09,6.95,0.98,7.16,1.18,0.68,0.21,NA,NA,NA,26.29,19.96,1.25,222.67,0.00,0.00,87.75,747.92,NA
2025-02-06 00:00:00,49.61,128.53,14.65,63.80,45.88,10.38,7.90,0.51,5.79,3.50,11.65,1.25,NA,NA,NA,27.75,44.70,1.37,237.91,0.00,0.00,91.89,747.95,NA
2025-02-07 00:00:00,47.49,102.39,5.77,38.59,25.26,11.71,6.83,0.38,6.68,1.79,2.39,0.57,NA,NA,NA,26.99,22.69,1.24,206.19,0.00,0.00,83.96,749.09,NA
2025-02-08 00:00:00,57.93,105.70,4.15,30.63,19.66,12.51,5.88,0.40,8.18,1.02,1.30,0.27,NA,NA,NA,26.59,16.12,1.41,193.60,0.00,0.00,85.57,749.03,NA
2025-02-09 00:00:00,80.55,167.20,10.13,43.24,31.28,15.66,7.45,0.43,8.00,1.41,1.56,0.57,NA,NA,NA,26.38,22.18,1.13,243.24,0.00,0.00,74.71,748.82,NA
