City,Year,PM2.5 (µg/m³),SmartCity,EV,GreenCover,PopulationDensity,AT (°C),RH (%),WS (m/s),RF (mm)
Bengaluru,2017,48.384498256863054,1.0,36,284.28,240.7,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bengaluru,2018,48.384498256863054,1.0,168,284.28,240.7,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bengaluru,2019,48.384498256863054,1.0,451,284.28,240.7,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bengaluru,2020,48.384498256863054,1.0,1022,284.28,240.7,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bengaluru,2021,48.384498256863054,1.0,2561,284.28,240.7,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bengaluru,2022,48.384498256863054,1.0,9770,284.28,240.7,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bengaluru,2023,48.384498256863054,1.0,19495,284.28,240.7,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bengaluru,2024,48.384498256863054,1.0,25356,284.28,240.7,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bengaluru,2025,48.384498256863054,1.0,30072,284.28,240.7,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bhopal,2017,48.384498256863054,1.0,212,336.35,226.98,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bhopal,2018,48.384498256863054,1.0,597,336.35,226.98,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bhopal,2019,48.384498256863054,1.0,1031,336.35,226.98,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bhopal,2020,48.384498256863054,1.0,2067,336.35,226.98,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Bhopal,2021,48.384498256863054,1.0,4562,336.35,226.98,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
