Model,Fold,RMSE,MAE,R2
OLS,1,15.79993223074491,12.316716231561816,0.2616075924824771
OLS,2,15.548040409750785,12.38596831373185,0.39701848090569725
OLS,3,13.701266603683575,9.942375181271382,0.44337874735160965
OLS,4,23.987656281574502,16.897254625022477,0.2538380000592566
OLS,5,16.868300881365585,13.596060048271951,0.27688092332785974
OLS,6,14.789501567400805,12.175321563729693,0.3570154188920991
OLS,7,16.069651532941105,12.813414371659896,0.4686628900284515
OLS,8,17.050417299276635,12.267031782761938,0.30299355203789347
OLS,9,21.531975184929795,15.572165492157419,0.20595730367359566
OLS,10,16.252457068283125,11.672514144553837,0.3880551185209532
OLS,11,19.180208050847106,13.760365332146852,0.41189299859889417
OLS,12,21.349822953888395,15.495033414720108,0.31181423624250304
OLS,13,16.91154703469351,13.225661948448305,0.40417386716043513
OLS,14,13.640196091269152,10.601587681898945,0.06969588782969671
OLS,15,14.196091888273992,11.839995746506531,0.30138519608301895
OLS,16,13.970900285832471,9.693259592112469,0.37513193103173526
OLS,17,13.799337203969854,10.492643778952033,0.4803313117556891
OLS,18,21.411959025536692,14.654420472341284,0.38347494158222883
OLS,19,18.023950766684546,14.393971405907704,0.3576389507020661
OLS,20,17.641367221074532,13.563395749947341,0.06017978955372483
OLS,21,21.35833922592869,13.42101872843262,0.24550115025160957
OLS,22,17.774760198956102,13.157183912012428,0.17055173577001748
OLS,23,19.430063207893337,15.305705234507819,0.24044874799688165
OLS,24,14.12533941447005,11.556374519864782,0.5719162899932058
OLS,25,13.757066487441241,11.023646034959441,0.38819716301792984
OLS,26,20.490798311098846,14.353941101753003,0.33027333576274365
OLS,27,13.973553743593738,11.2792741418992,0.49841550712865823
OLS,28,16.489897324310142,11.609215514741905,0.22826451885377508
OLS,29,17.981285735683432,13.382948430116253,0.33231156000805917
OLS,30,15.664013260185877,12.291508960828049,0.30625724920055164
OLS,31,15.381174819373737,11.246434954262908,0.4089079449288975
OLS,32,12.98743082589547,10.858040172730188,0.5948748831545853
OLS,33,20.53473669590531,15.336283424086393,0.28508623844088665
OLS,34,12.999914641051419,9.583535889188314,0.35959475751862036
OLS,35,21.40255460662253,15.683453786957958,0.2153541874805086
OLS,36,17.4487994327629,13.163882321253155,0.2609078969559683
OLS,37,15.099040516660121,10.914636148545393,0.4287663838000677
OLS,38,18.033748606594262,12.899222953962209,0.18888879384165502
OLS,39,15.1676162819264,12.777836416588828,0.5637893155523298
OLS,40,19.96747417365977,14.529730355324052,0.25132746710717857
OLS,41,16.675176612558545,13.165587771336703,0.40133520711185955
OLS,42,16.523938263613807,11.346001402649618,0.4309356120424338
OLS,43,17.4592144903063,12.256451279770832,0.33133048844180424
OLS,44,14.474249421407134,10.932195532362906,0.4255940156804232
OLS,45,18.1574262079645,14.392410966799083,0.3073716457568715
OLS,46,14.718405882356242,11.297348968779955,0.3426011784012746
OLS,47,16.590722981879985,12.909864823008668,0.3519182806430342
OLS,48,18.672262330028524,14.23705312682053,0.23819876422701525
OLS,49,18.449420863958487,12.61063035038058,0.37181222869969477
OLS,50,15.967874647826463,11.365241645517406,0.5156725360191717
Random Forest,1,8.609182654180707,5.6498167160296955,0.7807696798539405
Random Forest,2,11.966286594831338,8.109461532297487,0.6428328730899466
Random Forest,3,8.143225196798392,6.123790318187666,0.8033783933390737
Random Forest,4,13.671169995028784,8.778899594407408,0.7576355819905134
Random Forest,5,11.186903809961205,6.811758014366667,0.6819561891489814
Random Forest,6,9.354070135668724,5.824829408944595,0.7427859268196457
Random Forest,7,12.97925054019071,8.738128784867628,0.6533777299258157
Random Forest,8,9.660098672177195,5.140251066989283,0.7762670775079388
Random Forest,9,11.173119794683158,7.46193870353421,0.7861914715423061
Random Forest,10,11.97876090489693,8.472203816305417,0.6675716572059576
Random Forest,11,12.056617502471168,8.048929258723772,0.7676189613844515
Random Forest,12,10.348309739695518,6.577039300738695,0.838320124155507
Random Forest,13,10.556890820137973,5.89367668141261,0.7678199331350297
Random Forest,14,9.645851962000492,6.738836171753945,0.5347730147062434
Random Forest,15,9.688103846466188,7.29703583645961,0.6746298171298517
Random Forest,16,11.065193121911904,7.3128787085659015,0.6080257454459101
Random Forest,17,7.314948332008924,5.038710893986033,0.8539731822282436
Random Forest,18,13.531247455135691,8.00815625475698,0.7537855154484118
Random Forest,19,9.929919907998647,6.898349541849032,0.8050286920035887
Random Forest,20,12.760603887346727,8.068200889754236,0.5082744727441597
Random Forest,21,8.094783686081497,5.0445970484746905,0.8916237504997928
Random Forest,22,11.779971388715028,7.386204028683039,0.6356906871635439
Random Forest,23,13.803269294877413,9.010575788031616,0.6166702031342534
Random Forest,24,11.498844249857623,7.640718669899292,0.7163130875706326
Random Forest,25,7.954601384026555,5.498075896119531,0.7954513314373678
Random Forest,26,11.555167384419065,7.414411829262629,0.7870231915357465
Random Forest,27,9.215317096156348,6.182749943282901,0.7818521537778907
Random Forest,28,11.204219021102933,6.89060079186175,0.6437164717107502
Random Forest,29,11.925617759416873,7.197489533662994,0.7063066298373113
Random Forest,30,10.388518504444564,7.255895435482752,0.6948596716514874
Random Forest,31,10.604400215173154,6.151256976344314,0.7190375216571556
Random Forest,32,10.379268615154203,6.100972352571468,0.7412524908538187
Random Forest,33,11.31657115427615,7.884420256036088,0.7828773670678507
Random Forest,34,9.010403356127842,5.650256445414869,0.6923461580805927
Random Forest,35,11.918781242640776,9.02923369221272,0.7566641307581586
Random Forest,36,10.718386801683321,7.810883131522805,0.7211142576695939
Random Forest,37,9.33308695933539,5.9309565346084145,0.78174425675515
Random Forest,38,10.807814713167032,6.248617185328903,0.7086707033490097
Random Forest,39,12.29346327734598,8.291241717826257,0.7134435890325704
Random Forest,40,11.38875770800652,7.473084924722065,0.7564442738672776
Random Forest,41,11.549436297711818,7.239825077093349,0.7128132432171673
Random Forest,42,14.27444349037587,8.48429905125272,0.5753289536685032
Random Forest,43,11.221857168386741,6.004202054035329,0.7237568012352347
Random Forest,44,8.472450611089652,5.774094114491198,0.8031910051630762
Random Forest,45,8.294233478239065,6.3437995856178935,0.8554745922376747
Random Forest,46,9.958600078613786,6.592971519211576,0.6990433421181643
Random Forest,47,12.043380415032418,7.68666206653788,0.6584958726297212
Random Forest,48,9.549556435842836,6.216224934687102,0.800742722717716
Random Forest,49,7.857398048263963,5.1265257333776315,0.886058610534606
Random Forest,50,11.73158706337071,6.983547984104643,0.7385682059095847
XGBoost,1,9.461520940732704,6.757792077927861,0.7352117655170345
XGBoost,2,12.097465940309196,7.653656983614933,0.6349591254247157
XGBoost,3,7.8087686113286345,5.578051344686903,0.8191979050486348
XGBoost,4,13.023864051918634,8.486342278102933,0.780043296719669
XGBoost,5,13.053159618164345,7.090129911351865,0.5669894892508053
XGBoost,6,8.988713153534384,6.529659916654273,0.7624863760510627
XGBoost,7,10.977339824894884,8.229070755517025,0.7520572302540715
XGBoost,8,9.609841499140796,5.1386633750428015,0.7785889864965367
XGBoost,9,10.597666187215921,6.688828572898323,0.8076480534880259
XGBoost,10,12.873783145099232,7.894722213255208,0.6160394278663419
XGBoost,11,11.7471720022907,7.9407594585340595,0.7793944786939534
XGBoost,12,9.606916768680794,6.081072945121501,0.8606569909564825
XGBoost,13,12.387813975477917,6.853283103189225,0.6803003050637214
XGBoost,14,11.650270587356788,8.033558212618914,0.32133455407395406
XGBoost,15,9.582024908637472,7.307987282152896,0.6817160261690346
XGBoost,16,11.67790392443726,7.533320303508449,0.5634144650197385
XGBoost,17,8.742580235904176,6.159658825543595,0.791411986118356
XGBoost,18,14.965535382567856,8.22747808701932,0.6988225569511892
XGBoost,19,10.792919501533587,7.6397395723996775,0.7696665090569281
XGBoost,20,12.720236848356747,8.618046216717419,0.5113806121767167
XGBoost,21,5.907603183626774,4.334796146460803,0.9422773509503398
XGBoost,22,11.147863685539212,6.870008795953813,0.6737390464490419
XGBoost,23,13.250154090223164,8.62083943626652,0.6467757474250146
XGBoost,24,13.512396594877336,7.926463535925192,0.6082620155944377
XGBoost,25,8.629142348248951,6.131527205238318,0.7592894747101743
XGBoost,26,12.132712369272188,7.387294356508855,0.7652013277952706
XGBoost,27,11.406106941031226,7.157576298877247,0.6658009274917721
XGBoost,28,11.091346328390847,6.3976358950931385,0.6508588021645403
XGBoost,29,12.05924279084195,6.885365389763179,0.6996881630991855
XGBoost,30,12.10715528839021,9.118322380842839,0.5855457481498212
XGBoost,31,11.067681178722333,6.527425492408713,0.6939521128064785
XGBoost,32,10.815334311265005,6.412614940670994,0.7190541823608687
XGBoost,33,10.270205944782342,7.121309153621562,0.8211727554531014
XGBoost,34,9.21391661151729,6.187425615946839,0.6782915768413483
XGBoost,35,13.215808888647816,9.253532518212735,0.7008218079918488
XGBoost,36,12.38724213621184,9.39973888689022,0.6275082017636074
XGBoost,37,9.250383514643495,6.081391933051702,0.7855951854471849
XGBoost,38,11.431017249142105,6.7047943978651965,0.6741046684321645
XGBoost,39,11.556935293702386,6.872892541431955,0.7467514333258526
XGBoost,40,11.19328988233532,6.937249896470202,0.7647329321959782
XGBoost,41,11.51317490447232,7.2784231061503375,0.7146137542948134
XGBoost,42,15.481559532599078,8.734484829822753,0.5004675619465695
XGBoost,43,11.107696311123279,6.310649796941296,0.7293487010363022
XGBoost,44,9.941095280672698,6.876653947345254,0.7290461513148832
XGBoost,45,8.779353608159633,6.580092736126619,0.8380739306572169
XGBoost,46,10.673899987026084,7.067252530516737,0.6542568141291425
XGBoost,47,11.555855767148287,7.403094948548676,0.6855849161920932
XGBoost,48,10.161401883441108,6.058705899389794,0.7743917127670618
XGBoost,49,8.77087745950129,5.5805200044374335,0.8580255847322129
XGBoost,50,12.22576695320651,6.7718082096069185,0.7160792762516535
